,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458217.0077951504,r,-5.102543475944886,5.993559469229208,20.20836294206606,99.0,P48
1,2458217.0077951504,r,-5.102543475944886,5.993559469229208,20.20836294206606,99.0,P48
2,2458230.9497801,r,0.24030314818570953,8.013802147898563,19.892978449239124,99.0,P48
3,2458244.9884722,r,4.533209715509091,8.322394972560796,19.851954181337998,99.0,P48
4,2458247.9654861,r,2.4609136310376747,4.130368684155859,20.612602940922066,99.0,P48
5,2458256.9726736,r,1.490554296447067,3.368678015471167,20.833926233439726,99.0,P48
6,2458259.9498611,r,4.477850802495793,8.33211739248374,19.850686538758502,99.0,P48
7,2458262.828669,r,-1.422459514785407,5.8697978884040545,20.231017119968516,99.0,P48
8,2458266.8519907002,r,7.721407703829917,7.7829041240295265,19.9247207879132,99.0,P48
9,2458269.9085301002,r,-8.123252353167505,6.7233988261781095,20.083602804184302,99.0,P48
10,2458272.9720255,r,4.149013417901831,5.7225471244290045,20.25860154486069,99.0,P48
11,2458275.9101389,r,4.738352489027572,4.072200062572449,20.628002223539013,99.0,P48
12,2458278.9525116,r,3.690400407878481,3.4895392692192737,20.795654764200727,99.0,P48
13,2458281.9557060003,r,-0.09470359963540559,3.6460103010229195,20.74803026084261,99.0,P48
14,2458287.9697454,r,1.3543059276945804,3.815806442846508,20.698609146757782,99.0,P48
15,2458290.8880671,r,-0.3244366558729082,3.1954569151102716,20.89124257351596,99.0,P48
16,2458293.8253472,r,-0.978971781620938,5.488882927798469,20.30386506959038,99.0,P48
17,2458297.9156366,r,-9.138896027147647,8.294492302818869,19.85560046800044,99.0,P48
18,2458300.8790508998,r,7.803154174532763,6.174224584211794,20.176118932486055,99.0,P48
19,2458303.8640046003,r,0.902930918403131,4.115062328061025,20.616633945254012,99.0,P48
20,2458310.9087153,r,0.26495163621964907,5.061930972570728,20.391784442732593,99.0,P48
21,2458313.8908565,r,2.1397952767397515,3.5895913727256525,20.764962457317925,99.0,P48
22,2458316.8451389,r,2.9913577477203086,3.0750901928812517,20.932930343599907,99.0,P48
23,2458322.8642477,r,-3.090043181388312,4.4260917887449445,20.53752394883974,99.0,P48
24,2458325.7544676,r,14.897221224493421,7.528782327769023,19.96076313667067,99.0,P48
25,2458327.8622743,r,2.2326314315741764,4.963074158022918,20.413198078025637,99.0,P48
26,2458327.8622743,r,2.2326314315741764,4.963074158022918,20.413198078025637,99.0,P48
27,2458328.8386343,r,0.8258567969360123,9.90578112941201,19.662853169378288,99.0,P48
28,2458334.8464698996,r,-2.945069920035456,4.467032972525584,20.527527093802462,99.0,P48
29,2458337.8317245,r,7.07780831009612,3.979568948890937,20.652984905242235,99.0,P48
30,2458340.8092707996,r,-2.8660601829711942,4.942939021160054,20.417611857169987,99.0,P48
31,2458343.8332176004,r,-4.296565474167122,3.9131694043660765,20.671253365965313,99.0,P48
32,2458349.8064236,r,-4.366044666338739,4.326797930442481,20.562158455891005,99.0,P48
33,2458352.7887153,r,-4.632969308803417,4.391060955820674,20.546151324323823,99.0,P48
34,2458353.8405556,r,5.8869025931688554,4.446185664489898,20.532606003970088,99.0,P48
35,2458354.8091319,r,-2.5192178811380463,4.752490653456075,20.460271810590548,99.0,P48
36,2458355.838834867,r,-1.147842749741268,3.2897042259457154,20.85968285736559,99.0,P48
37,2458355.838834867,r,-1.147842749741268,3.2897042259457154,20.85968285736559,99.0,P48
38,2458355.838834867,r,-1.147842749741268,3.2897042259457154,20.85968285736559,99.0,P48
39,2458356.7985764,r,-1.9600007327314741,6.308499537695805,20.152759800236907,99.0,P48
40,2458357.8262153,r,-35.90952101865702,22.24038330907412,18.784719319252126,99.0,P48
41,2458358.77278935,r,3.9233887733447883,3.7978640400178505,20.703726455802865,99.0,P48
42,2458358.77278935,r,3.9233887733447883,3.7978640400178505,20.703726455802865,99.0,P48
43,2458361.7702431,r,0.08114186293774221,4.4954156400553975,20.520650358643454,99.0,P48
44,2458364.8162153,r,-0.4335845560964967,3.6574758302940786,20.744621327015928,99.0,P48
45,2458367.8263194,r,-5.640592801473768,4.500002240232471,20.519543164210283,99.0,P48
46,2458370.7817824,r,1.717394595826466,4.09576563189094,20.621737245515305,99.0,P48
47,2458373.7825,r,5.959627071457995,3.57238766305987,20.770178536916212,99.0,P48
48,2458376.7035648,r,-1.337232793786982,4.195600899660928,20.595589564497278,99.0,P48
49,2458379.7227662,r,-5.229719112435617,4.045425291568623,20.635164525913233,99.0,P48
