,JD,Filter,Flux,eFlux,Mag,eMag,Telescope
0,2458214.7087383997,r,24.40790800864852,23.004160012417934,18.74805903965172,99.0,P48
1,2458217.7266667006,r,2.8151581137630703,5.067740241155364,20.39053912414645,99.0,P48
2,2458221.6966782003,r,-18.13101691459602,12.367462584692538,19.421873476244187,99.0,P48
3,2458224.658726867,r,11.653184003248553,10.477458792373676,19.60193508556464,99.0,P48
4,2458224.658726867,r,11.653184003248553,10.477458792373676,19.60193508556464,99.0,P48
5,2458224.658726867,r,11.653184003248553,10.477458792373676,19.60193508556464,99.0,P48
6,2458227.6528009,r,6.1261082757526815,4.7574235725560845,20.459145438845212,99.0,P48
7,2458231.6753125,r,12.815375069311983,5.187756313891029,20.365126070060278,99.0,P48
8,2458243.6620833,r,6.72977156754875,6.0844021661216185,20.19203020846765,99.0,P48
9,2458249.6604167004,r,4.646509757124307,13.325158638231878,19.34089401896622,99.0,P48
10,2458258.6971643995,r,-2.9872153392966845,4.941130498400735,20.41800917907367,99.0,P48
11,2458367.0059606005,r,6.837746663394239,7.113816427041959,20.022318354238017,99.0,P48
12,2458370.008206,r,7.152013643733326,4.498895286832407,20.519810276795106,99.0,P48
13,2458373.0132639,r,1.9787908843122577,5.279672509808335,20.346057527330203,99.0,P48
14,2458376.0108681,r,4.578698337659798,4.099886682047292,20.620645355922605,99.0,P48
15,2458379.0113310004,r,4.597089833487193,4.096235070864717,20.621612810250024,99.0,P48
16,2458383.025706,r,9.756807554766471,7.441884727522597,19.973367642531684,99.0,P48
17,2458387.9672222002,r,2.3545863990240528,13.383402928961956,19.33615860592257,99.0,P48
18,2458389.0143692,r,-0.7457373446235798,4.409457996533408,20.541611964232388,99.0,P48
19,2458389.0143692,r,-0.7457373446235798,4.409457996533408,20.541611964232388,99.0,P48
20,2458390.0124884,r,1.1042697462181954,5.626174447550176,20.277042004268004,99.0,P48
21,2458391.0122222,r,2.8560434995562116,6.127085068860787,20.184440213791,99.0,P48
22,2458398.0105556,r,5.042728348798959,5.1275783807334845,20.3777942197477,99.0,P48
23,2458423.025613433,r,-1.4895253922520773,3.216723072935711,20.884040803700707,99.0,P48
24,2458423.025613433,r,-1.4895253922520773,3.216723072935711,20.884040803700707,99.0,P48
25,2458423.025613433,r,-1.4895253922520773,3.216723072935711,20.884040803700707,99.0,P48
26,2458423.8865741002,r,7.488469424661169,5.4247769186186146,20.316620280326262,99.0,P48
27,2458424.8406944,r,34.26105497217949,23.379406152348064,18.73049129994332,99.0,P48
28,2458425.96890625,r,3.773170318614502,3.037902489325313,20.94614041477324,99.0,P48
