  0.03113600    0.03118600 4.035e-09 2.853e-10 WT  
  0.03118598    0.03123182 4.501e-09 3.124e-10 WT  
  0.03123186    0.03128394 3.860e-09 2.737e-10 WT  
  0.03128398    0.03134022 3.560e-09 2.551e-10 WT  
  0.03134017    0.03142143 3.854e-09 2.227e-10 WT  
  0.07034943    0.07260637 1.648e-10 1.166e-11 PC  
  0.07260642    0.07512378 1.519e-10 1.074e-11 PC  
  0.07512371    0.07700449 2.083e-10 1.473e-11 PC  
  0.07700449    0.07940611 1.671e-10 1.181e-11 PC  
  0.07940616    0.08276264 1.249e-10 8.783e-12 PC  
  0.08276268    0.08542472 1.626e-10 1.142e-11 PC  
  0.08542468    0.08817352 1.595e-10 1.127e-11 PC  
  0.08817353    0.09025687 2.152e-10 1.522e-11 PC  
  0.09025681    0.09312139 1.625e-10 1.143e-11 PC  
  0.09312147    0.09827193 1.647e-10 8.743e-12 PC  
  0.13608654    0.14219186 1.117e-10 7.797e-12 PC  
  0.14219188    0.14815252 1.190e-10 8.298e-12 PC  
  0.14815254    0.15532846 1.009e-10 7.122e-12 PC  
  0.15532849    0.16513751 1.119e-10 6.571e-12 PC  
  0.20415868    0.20780452 2.639e-10 1.855e-11 PC  
  0.20780451    0.21058229 3.511e-10 2.470e-11 PC  
  0.21058233    0.21390987 3.018e-10 2.106e-11 PC  
  0.21390987    0.21593533 4.944e-10 3.474e-11 PC  
  0.21593531    0.21781609 5.358e-10 3.773e-11 PC  
  0.21781612    0.21943648 6.280e-10 4.413e-11 PC  
  0.21943647    0.22154873 4.849e-10 3.412e-11 PC  
  0.22154874    0.22354526 5.180e-10 3.642e-11 PC  
  0.22354527    0.22565753 5.019e-10 3.498e-11 PC  
  0.22565757    0.22768303 5.192e-10 3.652e-11 PC  
  0.22768306    0.23202334 4.427e-10 2.320e-11 PC  
  0.27052213    0.27492027 2.261e-10 1.592e-11 PC  
  0.27492029    0.27928951 2.241e-10 1.574e-11 PC  
  0.27928946    0.28470034 1.767e-10 1.244e-11 PC  
  0.28470033    0.29115287 1.447e-10 1.017e-11 PC  
  0.29115289    0.29890751 1.760e-10 1.020e-11 PC  
  0.33700300    0.34736180 6.758e-11 4.790e-12 PC  
  0.34736174    0.36579346 5.638e-11 3.136e-12 PC  
  0.40391100    0.40712280 1.392e-10 9.778e-12 PC  
  0.40712281    0.40900359 2.288e-10 1.618e-11 PC  
  0.40900367    0.41094233 2.180e-10 1.541e-11 PC  
  0.41094230    0.41192610 4.236e-10 2.994e-11 PC  
  0.41192606    0.41305454 3.655e-10 2.583e-11 PC  
  0.41305459    0.41447241 4.049e-10 2.411e-11 PC  
  0.41565401    0.41646419 4.910e-10 3.471e-11 PC  
  0.41646418    0.41724543 5.126e-10 3.624e-11 PC  
  0.41724541    0.41805559 4.904e-10 3.464e-11 PC  
  0.41805565    0.41863435 6.721e-10 4.746e-11 PC  
  0.41863434    0.41929985 6.533e-10 4.386e-11 PC  
  0.41929982    0.41967598 1.021e-09 7.213e-11 PC  
  0.41967595    0.42025465 7.305e-10 4.904e-11 PC  
  0.42025468    0.42103592 4.856e-10 3.430e-11 PC  
  0.42103591    0.42184609 4.644e-10 3.279e-11 PC  
