 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 790 5 3 ZTF_g 448296891915 0 2.2421 209.343 7.13418 26.2468 2.52817e-05 0.033453 -0.0786297 3.627e-05 323 30. 0.052277 0.044014 20.3504 26.2468 2 2458202.7968981 790120119 -3.64528329897868 30.5163548215585 -0.132878106562489 3.24256231856036 10.7813746598744 53.1572391911033 0.2041864476726 1.06042927274894 1.79718934965736 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 10 790 5 3 ZTF_g 448300211915 0 2.2742 208.207 7.07643 26.2498 2.6548e-05 0.0345344 -0.0754008 3.87382e-05 324 30. 0.052163 0.045965 20.2572 26.2498 1 2458202.8002199 790120119 19.2288662083134 34.3182688206794 0.623279878906204 1.30820860751233 103.72961741393 59.6829797217851 1.74971562817546 1.0603568080882 1.79718934965736 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 11 791 8 2 ZTF_g 448303003015 0 2.2387 279.762 7.02508 26.2459 1.94169e-05 0.0300381 -0.0619172 2.87723e-05 316 30. 0.059652 0.051571 20.4211 26.2459 2 2458202.8030093 791120130 -18.3239305110757 33.1674074128899 -0.61455663488832 3.2149026998105 -0.893321899521904 54.9232414738751 -0.0163744609709563 1.08648356195374 1.55469461336832 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 12 791 8 2 ZTF_g 448317933015 0 2.5621 278.54 6.6177 26.2419 2.60371e-05 0.0345177 -0.0443212 3.91751e-05 309 30. 0.059134 0.054498 20.297 26.2419 2 2458202.8179398 791120130 48.8658918132039 39.5611961002084 1.37401418588943 1.65176927529495 -5.90032280117934 61.2628873074446 -0.0969602001438477 1.10783665243891 1.55469461336832 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 13 790 5 3 ZTF_g 448326121915 0 2.2422 213.71 6.71945 26.2544 2.29862e-05 0.0321464 -0.0689227 3.32704e-05 324 30. 0.050934 0.044637 20.457 26.2544 2 2458202.8261227 790120119 3.2011399779166 30.1775014042732 0.117998418731954 2.40153578561913 37.1623075781264 52.3366696017195 0.714844833316751 1.06257760478979 1.79718934965736 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 14 790 5 3 ZTF_g 448327031915 0 2.2925 215.274 6.71633 26.2567 2.56789e-05 0.0338923 -0.0742913 3.68004e-05 327 30. 0.054107 0.045577 20.438 26.2567 1 2458202.827037 790120119 -15.9448627175634 30.5227337429319 -0.581101715102781 2.01240080652587 -0.497777291561535 52.6405015611515 -0.00951985325743183 1.0648541507345 1.79718934965736 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 15 790 5 3 ZTF_g 448337871915 0 1.8254 215.399 6.54926 26.2602 2.34166e-05 0.0325717 -0.0653786 3.3529e-05 328 30. 0.048131 0.041698 20.6164 26.2602 2 2458202.8378704 790120119 -24.5702301364707 25.1806746149628 -1.08541711247431 8.37879496915771 -77.9760459056306 47.0853675744474 -1.66721049670113 1.04801581709213 1.79718934965736 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 16 791 8 2 ZTF_g 448340673015 0 2.0652 278.472 6.43019 26.2459 1.86464e-05 0.0296623 -0.0488244 2.70535e-05 321 30. 0.060119 0.053826 20.6171 26.2459 2 2458202.8406713 791120130 -13.8457198727079 28.5537973165958 -0.539394444787641 7.7822380285592 19.2157731784499 48.2266006956128 0.401131164903861 1.08444975270406 1.55469461336832 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 17 791 8 2 ZTF_g 448360793015 0 3.1642 278.115 6.09032 26.2581 2.39686e-05 0.0332516 -0.0545211 3.52579e-05 314 30. 0.060109 0.056115 20.4602 26.2581 2 2458202.8607986 791120130 -45.5287140847019 32.3528728432902 -1.56540722705175 2.25170181167682 -126.875192596988 50.1986618180653 -2.54448424903858 1.11282696762447 1.55469461336832 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 18 790 5 3 ZTF_g 448362801915 0 1.8587 214.053 6.09388 26.252 1.76375e-05 0.0278222 -0.0594442 2.52431e-05 324 30. 0.048674 0.042557 20.6711 26.252 2 2458202.8628009 790120119 -14.9670655194445 22.2642032286529 -0.747798006920248 7.07014181387026 -57.5966103036723 40.8788706775999 -1.41844737456646 1.05581844592405 1.79718934965736 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
