nu fnu fnu_unc phase_rest
4.3 254 25 259.5
4.94 234 22 259.5
5.51 330 28 259.5
6.49 327 20 259.5
7.06 336 17 259.5
7.7 349 18 259.5
3.0 165 26 262.9
8.49 277 23 262.9
9.64 271 20 262.9
11.13 223 17 262.9
12.78 213 19 262.9
14.32 189 16 262.9
16.62 153 15 262.9
20.0 149 8 262.9
24.0 103 8 262.9
