###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57470.481523 -19.446 29.929   -60 1810 o  0   0.77 236.97569  44.65204  8957.77   660.39 8.66 3.98  37.6 -0.447 15.35 15.19 02a57470o0554o
57470.490329  19.066  0.953    86   82 o  0   1.03 236.97569  44.65204  3124.81 10446.23 3.93 3.66 -28.1 -0.428 17.70 18.29 02a57470o0572o
57470.495160  15.070  0.534  3404 1816 o  0   0.33 236.97569  44.65204  9238.63  1239.69 4.57 3.69  20.7 -0.566 17.28 17.78 02a57470o0582o
57470.508369 -17.958  1.359  -238  324 o  0   0.68 236.97569  44.65204  8102.69  1871.36 4.44 3.61  15.5 -0.497 15.82 16.73 02a57470o0609o
57470.515608  16.006  0.605  1437  870 o  0   0.59 236.97569  44.65204  8311.15  2043.19 3.92 3.57  36.7 -0.478 16.41 16.85 02a57470o0624o
57474.533989 -21.669  5.200    -8   41 o  0   1.02 236.97569  44.65204  9200.68   898.03 4.66 3.35  20.0 -0.527 18.69 19.86 02a57474o0575o
57474.557318 -21.259  3.217   -11   37 o  0   1.15 236.97569  44.65204  9506.50  1470.28 4.33 3.43  26.6 -0.553 18.70 19.87 02a57474o0615o
57474.570814  20.629  3.152    20   64 o  0   0.74 236.97569  44.65204    58.69  1459.06 5.98 3.50 -28.9 -0.441 18.71 19.93 02a57474o0638o
57474.572017 -23.124 14.400    -2   29 o  0   1.41 236.97569  44.65204  2279.27  8587.55 3.92 3.41 -65.5 -0.487 18.71 19.88 02a57474o0640o
57474.594329 -21.387  3.160   -10   32 o  0   1.15 236.97569  44.65204  2293.85  8628.78 3.90 3.42 -64.7 -0.483 18.69 19.87 02a57474o0678o
57488.471010  21.496  2.571     9   24 c  0   1.02 236.97569  44.65204  9416.20   827.95 5.26 4.22  21.5 -0.443 19.47 21.58 02a57488o0453c
57488.483286  20.549  0.864    22   19 c  0   0.98 236.97569  44.65204  9706.73  1397.23 4.60 3.78  29.9 -0.480 19.64 21.61 02a57488o0476c
57488.494664 -22.468  4.857    -4   18 c  0   1.02 236.97569  44.65204   283.94  1419.39 5.42 3.76 -27.4 -0.438 19.63 21.63 02a57488o0499c
57488.502423  22.640  5.429     3   17 c  0   0.79 236.97569  44.65204  8572.29  2036.07 4.35 3.87  24.6 -0.455 19.62 21.65 02a57488o0514c
57488.514711  21.455  1.909    10   18 c  0   0.75 236.97569  44.65204  8322.56  2050.20 4.31 3.76  20.5 -0.453 19.64 21.65 02a57488o0539c
57492.446233 -19.535  0.514   -56   29 o  0   0.91 236.97569  44.65204  9276.91   917.67 4.29 3.62  24.7 -0.528 19.17 20.73 02a57492o0465o
57492.459327 -20.126  0.758   -32   24 o  0   1.03 236.97569  44.65204  9545.91  1504.94 4.19 3.64  32.8 -0.524 19.21 20.80 02a57492o0492o
57492.466067 -19.935  0.533   -39   20 o  0   1.14 236.97569  44.65204  8405.55  2129.34 3.86 3.54  25.7 -0.500 19.26 20.88 02a57492o0506o
57492.467574  20.786  1.500    18   26 o  0   0.90 236.97569  44.65204   103.68  1508.95 5.11 3.66 -29.8 -0.452 19.24 20.89 02a57492o0509o
57492.483603  21.118  1.467    13   19 o  0   1.12 236.97569  44.65204  8318.89  2044.33 3.97 3.58  23.5 -0.501 19.37 21.09 02a57492o0542o
57515.416939 -24.944 39.000    -0   15 c  0   0.90 236.97569  44.65204  2558.68  9230.11 4.00 3.70 -51.2 -0.426 19.66 21.70 02a57515o0409c
57515.426626  20.274  0.514    28   14 c  0   1.26 236.97569  44.65204  2580.63  9268.96 4.05 3.76 -49.1 -0.415 19.64 21.71 02a57515o0428c
57515.442542 -24.216 20.500    -1   15 c  0   1.06 236.97569  44.65204  2529.23  9180.27 3.94 3.68 -55.4 -0.423 19.67 21.70 02a57515o0459c
