mjd uJy duJy filter A_mw uJy.0 duJy.0
58975.25378469983 8.12144862672373 7.8025109031261275 g.ztf 0.06437999999999999 8.617583525295728 8.279162068878934
58975.3883795999 -0.3450103438665035 5.732172897333121 r.ztf 0.045239999999999995 -0.35968979471655116 5.976064571325758
58976.32747690007 -12.934668051124008 17.39202038823076 r.ztf 0.045239999999999995 -13.485010460543553 18.132013588466073
58976.3925575 -11.658615061962399 17.049143012383077 o.atlas 0.04176 -12.11576840789108 17.717667766987642
58976.47535880003 4.180670467638016 9.50842372883175 g.ztf 0.06437999999999999 4.436065362533914 10.089288185298377
58977.2660127501 6.954343204715705 6.0260367739719936 r.ztf 0.045239999999999995 7.250235606444646 6.282431726229801
58977.35877310019 -0.11459559401114684 13.57669420826716 g.ztf 0.06437999999999999 -0.12159617679196215 14.40608710521872
58978.27505790023 0.7050511405315132 5.021611037666054 r.ztf 0.045239999999999995 0.7350495557912223 5.235269827108027
58978.3848611 -3.2822360550704404 7.711828497544666 g.ztf 0.06437999999999999 -3.482746078234701 8.18293992424804
58978.460865 11.542976072023828 5.730471779281404 o.atlas 0.04176 11.99559502421112 5.9551729409309955
58979.254745400045 3.1870738442167665 3.847370585499372 g.ztf 0.06437999999999999 3.3817704594534788 4.0824043710883915
58979.328275499865 3.6248272683700513 4.248501155008288 r.ztf 0.045239999999999995 3.779055901429644 4.429265775548032
58980.28990740003 4.520072975777089 2.8095708342381562 r.ztf 0.045239999999999995 4.712392395371716 2.9291120529411088
58980.40900459979 1.1364861602300236 4.42155725630372 g.ztf 0.06437999999999999 1.20591348431342 4.691667794670997
58980.482739 -2.852771566145054 12.435855671634904 o.atlas 0.04176 -2.964633400479766 12.923485891824809
58981.27766200015 -2.354082272423887 3.520410566252149 r.ztf 0.045239999999999995 -2.4542434288336965 3.6701964923787087
58981.30839119991 3.9619762345205585 2.9116982048368327 g.ztf 0.06437999999999999 4.204011217145512 3.0895722713888927
58982.412499 0.6140118144336424 3.3708711283152026 o.atlas 0.04176 0.6380882209292894 3.5030484930205006
58984.453053 -1.2478134110787173 3.88763457952348 c.atlas 0.05741999999999999 -1.3155811706084055 4.098768939024147
58985.28607639996 3.2461547916641225 2.233645862439073 r.ztf 0.045239999999999995 3.384271722251915 2.328682707672832
58985.30201390013 -3.0955667694536513 2.2274560621903046 g.ztf 0.06437999999999999 -3.2846732670472094 2.3635301467879666
58986.490892999995 -0.7564156499789652 3.4458366897195054 o.atlas 0.04176 -0.7860759435440995 3.5809535765758698
58988.4368375 1.2027027027027029 3.743101763352262 c.atlas 0.05741999999999999 1.2680205353360317 3.9463866599096096
58990.3838495 0.5111790252533375 4.565749361824497 o.atlas 0.04176 0.5312231900637494 4.744779854411879
58991.25462959986 -0.8849095521066748 2.512293453186249 r.ztf 0.045239999999999995 -0.9225605573817918 2.619186156325648
58991.33210649993 -1.584596208222223 1.8420102529971163 g.ztf 0.06437999999999999 -1.6813983324709674 1.9545376618428922
58992.386349 -0.603448275862069 4.227985580505865 c.atlas 0.05741999999999999 -0.6362210744905699 4.457604133705271
58994.2654281999 -1.928482182905541 1.9888209594998003 g.ztf 0.06437999999999999 -2.046292115121996 2.1103169549029444
58994.30459489999 0.4885786640831974 2.10347642493797 r.ztf 0.045239999999999995 0.5093666393230539 2.1929748395306023
58994.433645 -0.9499020149741217 4.962296921198283 o.atlas 0.04176 -0.9871492250536972 5.156876691519265
58996.561387 -0.3364055299539171 6.109598099719175 c.atlas 0.05741999999999999 -0.3546754482413526 6.441405540774711
58997.22490740009 0.33926837387729575 2.2621526699650705 g.ztf 0.06437999999999999 0.3599940951123511 2.400346351542326
58997.27774310019 3.6753225377911223 2.2061247462706968 r.ztf 0.045239999999999995 3.8316996363642977 2.299990626983205
58998.429224 4.168465451779201 5.160223462889999 o.atlas 0.04176 4.3319177931200095 5.3625642563086275
59000.32553239982 3.1843717078375793 2.540970926624849 g.ztf 0.06437999999999999 3.3789032510261836 2.6961974645120907
59000.36400459986 -2.5899140575801245 13.90507096874572 r.ztf 0.045239999999999995 -2.7001093511125576 14.496701942949521
59000.4078915 8.373880675632968 6.4710614021883845 o.atlas 0.04176 8.702234219250933 6.724802293023013
59002.4200075 11.339141027453456 6.174709350064124 o.atlas 0.04176 11.783767274491154 6.416829792716752
59004.479595000004 10.367302329949132 11.97164810953715 o.atlas 0.04176 10.773821193742263 12.441075992735007
59006.367672500004 -0.5355292867578697 8.297816908096822 o.atlas 0.04176 -0.5565282651084725 8.6231878671069
59009.22219910007 3.8510997106281293 3.846817133234158 r.ztf 0.045239999999999995 4.014955751253603 4.010490959368142
59010.385611 -4.065934065934066 6.28970902033151 o.atlas 0.04176 -4.225365984106883 6.536338787956616
59011.425154 0.6159754224270353 6.11412205302304 o.atlas 0.04176 0.6401288252004993 6.353866768763345
59012.2598611 16.248189318921312 2.44730264951778 r.ztf 0.045239999999999995 16.939514958136538 2.551430133222119
59012.300844899844 22.274502362637477 2.168868369420765 g.ztf 0.06437999999999999 23.635239649587113 2.30136336359432
59014.38119 50.8937728937729 4.3576382352153775 o.atlas 0.04176 52.889400885748685 4.528508350489614
59015.3784525 78.36220472440945 4.61083967620704 c.atlas 0.05741999999999999 82.61799409069714 4.861250732566036
59016.20543979993 98.72203105920384 2.8052720762921903 g.ztf 0.06437999999999999 104.75290647534726 2.9766446282847463
