mjd,instrument,filter,mag,emag,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
58592.0497,LT+IOO,z,19.33,0.17,9669.83,19.30091685229983,8.665132674048882,8.849700000006123,-15.535749743022645,310028674754364.9,1637947.1971575588,256462.87035147345,5.947386272879096e-14,9.312166822462002e-15,18.438602844330077,2.8870387390594594,0.0019068176839024138,0.00029856147823275687,2.2814981733524364e+37,3.572273704885036e+36,2019-04-19T01:11:34.080000278,2019 04 19
58592.388,P48+ZTF,r,19.464,0.13,6421.81,19.40674146346069,8.996377166358485,9.18800000000192,-15.429925131861786,466834830055700.75,1485833.1814876115,177905.38138720312,5.3950602819815175e-14,6.459744398169345e-15,25.186020498791027,3.015633678322651,0.003921950431232164,0.000469592479117671,4.692594798325206e+37,5.61865139164421e+36,2019-04-19T09:18:43.199999915,2019 04 19
58592.4784,P48+ZTF,g,19.5,0.104,4813.97,19.41957398755756,9.084891804565627,9.278400000002875,-15.417092607764918,622755143883322.9,1468375.2074125258,140652.04872202108,5.331670378114881e-14,5.1070758890965855e-15,33.203251534613834,3.1804577801373934,0.0068972701397420075,0.000660672538494713,8.252550496980302e+37,7.90491509746742e+36,2019-04-19T11:28:53.759999997,2019 04 19
58593.1109,LT+IOO,r,19.41,0.06,6187.58,19.350238305537236,9.704200528740413,9.910900000002584,-15.486428289785241,484506799104011.56,1565205.321992561,86496.44260548039,5.683260524154989e-14,3.140685831004993e-15,27.535783650325207,1.5216836389715518,0.004450170123105513,0.0002459254892820055,5.324607115135409e+37,2.942486632646597e+36,2019-04-20T02:39:41.759999972,2019 04 20
58593.1117,LT+IOO,i,19.41,0.08,7658.73,19.365798849067723,9.704983844124353,9.911700000004203,-15.470867746254754,391438865190442.8,1542933.1092184824,113687.51285674982,5.6023901195723095e-14,4.127993591828586e-15,21.92993230759534,1.6158571270988018,0.0028633901844816755,0.00021098238573481528,3.4260325623372876e+37,2.5243940819680105e+36,2019-04-20T02:40:50.880000112,2019 04 20
58593.1125,LT+IOO,z,19.46,0.12,9669.83,19.430916852299834,9.705767159508293,9.91250000000582,-15.405749743022643,310028674754364.9,1453114.703359051,160604.17220952074,5.276259487896714e-14,5.831537492927698e-15,16.357917366927623,1.8079438407127655,0.0016916447721343213,0.00018696748967797424,2.0240448209432336e+37,2.2370570074827318e+36,2019-04-20T02:42:00.000000251,2019 04 20
58593.4315,P48+ZTF,r,19.437,0.058,6421.81,19.379741463460693,10.01811416821863,10.231500000001688,-15.456925131861784,466834830055700.75,1523246.022417484,81371.76315299858,5.530906307397885e-14,2.9546087200853784e-15,25.82019706068095,1.379314259722149,0.004020703985431046,0.0002147859029965304,4.810752950212967e+37,2.5699029827831013e+36,2019-04-20T10:21:21.599999894,2019 04 20
58593.4841,P48+ZTF,g,19.776,0.17,4813.97,19.69557398755756,10.069617154611182,10.2841000000044,-15.141092607764918,622755143883322.9,1138772.6893146737,178304.2292732801,4.13488363490158e-14,6.4742265649128e-15,25.750200529939306,4.031857895965502,0.005349057125395319,0.0008375328254986013,6.400121083296927e+37,1.0021039911834358e+37,2019-04-20T11:37:06.240000129,2019 04 20
58594.1142,LT+IOO,g,19.69,0.2,4795.5,19.609165092090457,10.68657593264127,10.914200000006531,-15.22750150323202,625153702429360.8,1233106.540498084,227146.61905794774,4.4774098485485425e-14,8.247693737994083e-15,27.990693441138045,5.156076276810455,0.005836866529274955,0.0010751905488083527,6.983782685185286e+37,1.2864603122894056e+37,2019-04-21T02:44:26.880000313,2019 04 21
58594.115,LT+IOO,r,19.5,0.08,6187.58,19.440238305537235,10.687359248018087,10.915000000000873,-15.396428289785241,484506799104011.56,1440692.5683338388,106154.1514058497,5.231154715620169e-14,3.8544572375464024e-15,25.34530026882984,1.867510738446898,0.004096157184041231,0.0003018160150570818,4.901032338880281e+37,3.611214081211993e+36,2019-04-21T02:45:35.999999824,2019 04 21
58594.1158,LT+IOO,i,19.48,0.08,7658.73,19.435798849067723,10.688142563402026,10.915800000002491,-15.400867746254754,391438865190442.8,1446595.4624312671,106589.09271638605,5.252588124087931e-14,3.8702499565319775e-15,20.560671346057767,1.5149662509882378,0.002684605847974503,0.00019780906899554337,3.21211796493836e+37,2.3667759817617402e+36,2019-04-21T02:46:45.119999964,2019 04 21
